RECIBO;SerieSAT;RecSAT;APLICACIoN;RECIBOSAT;FECHA;IMPORTADOR;PRODUCTO;INGREDIENTEACT;EXPORTADOR;ORIGEN;pct; CANTIDAD ;UNMEDIDA; CIFusd ; CIFQ ; CAMBIO ;Empresa; UMSP ;;;;;
66698;4207F766;593252331;HERBICIDA          ;593252331;6/01/2026;AGRIAVANCES, S.A.            ;ANACONDA 55 EC    ;CLORPIRIFOS, CIPERMETRINA;AIMCO PESTICIDES LIMITED                      ;INDIA                    ;0.1%;14,250.00;LITROS; $97,612.50 ; Q748,234.95 ;7.66536;Agrequima; Q3,367.06 ;;;;;
66699;AC1EE68A;2511096929;INSECTICIDA        ;2511096929;6/01/2026;AGROINVET S.A                ;ACARIMECTIN 1.8 EC;ABAMECTINA               ;JEBAGRO Gmbh                                  ;CHINA                    ;0.1%;1,008.00;LITROS; $11,497.65 ; Q88,133.63 ;7.66536;Agrequima; Q396.60 ;;;;;
66700;BF0FADFA;4216211488;INSECTICIDA        ;4216211488;6/01/2026;AGROINVET S.A                ;ACARIMECTIN 1.8 EC;ABAMECTINA               ;GEBAGRO Gmbh                                  ;CHINA                    ;0.1%;500;LITROS; $6,170.23 ; Q47,297.03 ;7.66536;Agrequima; Q212.84 ;;;;;
66701;E019EDD7;2972405719;INSECTICIDA        ;2972405719;6/01/2026;AGROBASSY Y COMPAÑIA LIMITADA;TARGET  24   SC   ;SULFOXAFLOR              ;ZOLI HENDRIX & DAIL DE HONDURAS S.A. DE C.V.  ;ESTADOS UNIDOS DE AMERICA;0.1%;120;LITROS; $18,600.00 ; Q142,575.70 ;7.66536;Agrequima; Q641.59 ;;;;;
66702;62468322;4095953908;INSECTICIDA        ;4095953908;6/01/2026;AGROBASSY Y COMPAÑIA LIMITADA;EXALT 6 SC        ;SPINETORAM               ;ZOLI HENDRIX AND DAIL DE HONDURAS S.A. DE C.V.;ESTADOS UNIDOS DE AMERICA;0.1%;264;LITROS; $36,168.00 ; Q277,240.74 ;7.66536;Agrequima; Q1,247.58 ;;;;;
66703;4635A004;2956738912;ACARICIDA-FUNGICIDA;2956738912;6/01/2026;INDUPARTS, S.A.              ;SULTRON 72.5 SC   ;AZUFRE                   ;GRUPO  BIOQUIMICO MEXICANO, S.A. DE C.V.      ;MEXICO                   ;0.1%;13,800.00;LITROS; $38,640.00 ; Q296,189.51 ;7.66536;Agrequima; Q1,332.85 ;;;;;
66704;85EB221B;674120891;HERBICIDA          ;674120891;6/01/2026;INDUPARTS, S.A.              ;GLIFOZELL 36 SL   ;GLIFOSATO                ;ZELLAG AG                                     ;CHINA                    ;0.1%;16,000.00;LITROS; $39,520.00 ; Q302,935.03 ;7.66536;Agrequima; Q1,363.21 ;;;;;
66705;6E6935A4;3944695147;FUNGICIDA;3944695147;7/01/2026;FORESTAL RIO BLANCO, S.A.;PQ-80  11 SL ;QUINOLINOLATE DE COBRE;ISK BIOCIDES INC    ;ESTADOS UNIDOS DE AMERICA;0.1%;14,308.00;LITROS; $166,155.40 ; Q1,273,640.96 ;7.66536;Agrequima; Q5,731.38 ;;;;;
66706;6BF3ABA3;2612805926;FUNGICIDA;2612805926;7/01/2026;SOLUFERT, S.A;DITHANE 62 SC;MANCOZEB;UPL COSTA RICA, S.A.;COSTA RICA;0.1%;17,000.00;LITROS; $82,450.00 ; Q632,008.93 ;7.66536;Agrequima; Q2,844.04 ;;;;;
66707;CD8A9A6F;1663912728;FUNGICIDA;1663912728;8/01/2026;AGRO INSUMOS, S.A.;SWITCH 62.5 WG                 ;CIPRODINIL, FLUDIOXONIL                           ;SYNGENTA CROP PROTECTION AG ;INGLATERRA               ;0.1%;840;KILOS ; $37,463.77 ; Q287,173.28 ;7.66536;Agrequima; Q1,292.28 ;;;;;
