Tipo;No_Licencia;No_Registro;NombreComercial;EmpresaImportadora;FechaEmision;UMedida;Cantidad;PaisProcedencia;PaisOrigen;AduanadeIngreso; CIF_dolares ; CIF_Q ; TimbresQ ;Exportador;Concentraciones;Componentes;VENTANILLA
.;1-26      ;_1299-F-7109-28-1;GRANFOL K;AVANCES AGRICOLAS DE GUATEMALA, S.A                                                                                                                   ;05/01/2026;Litros    ;360;España                                            ;España                                            ;Puerto Santo Tomás de Castilla                    ; $2,649.75 ; Q20,308.13 ; Q95.00 ;Arvensis Agro, S.A.; 46.40, 31.90;P2O5, K2O;MAGA
.;2-26      ;_1299-F-7110-28-1;GRANFOL CaB;AVANCES AGRICOLAS DE GUATEMALA, S.A                                                                                                                   ;05/01/2026;Litros    ;840;España                                            ;España                                            ;Puerto Santo Tomás de Castilla                    ; $5,381.85 ; Q41,247.41 ; Q135.00 ;Arvensis Agro, S.A.; 3.90, 19.50, 8.45, 0.39;N, P2O5, CaO, B;MAGA
.;3-26      ;_1299-F-6368-28-3;FERTIMIX ZnMn;AVANCES AGRICOLAS DE GUATEMALA, S.A                                                                                                                   ;05/01/2026;Litros    ;1040;España                                            ;España                                            ;Puerto Santo Tomás de Castilla                    ; $4,141.90 ; Q31,744.23 ; Q115.00 ;Arvensis Agro, S.A.; 8.40, 4.51, 7.00, 3.50;N, S, Zn, Mn;MAGA
.;4-26      ;_1299-SAF-557-28-1;HUMIPOWER;AVANCES AGRICOLAS DE GUATEMALA, S.A                                                                                                                   ;05/01/2026;Litros    ;240;España                                            ;España                                            ;Puerto Santo Tomás de Castilla                    ; $916.16 ; Q7,021.61 ; Q40.00 ;Arvensis Agro, S.A.; 10.20, 7.90;Acidos Humicos, Acidos Fulvicos;MAGA
.;5-26      ;_1441-F-5569-28-1;AVAN KRYSTAL 11-46;AVANCES AGRICOLAS DE GUATEMALA, S.A                                                                                                                   ;05/01/2026;Kilogramos;18000;España                                            ;España                                            ;Puerto Barrios                                    ; $23,447.83 ; Q179,708.16 ; Q415.00 ;AVAN EUROPE, S.L.; 0.01, 0.01, 0.03, 0.01, 0.01, 0.05, 11.00, 46.00;B, Cu (EDTA), Fe (EDTA), Mn (EDTA), Zn (EDTA), S, N, K2O;MAGA
.;6-26      ;_484-SAF-308-29-1;HUMEGA;SOLUCIONES AGRICOLAS DE GUATEMALA, S.A                                                                                                                ;06/01/2026;Litros    ;9159.7;Estados Unidos                                    ;Estados Unidos                                    ;Puerto Quetzal                                    ; $10,317.86 ; Q79,024.49 ; Q210.00 ;GLOBAL ORGANICS LLC; 8.00;Acidos Humicos;MAGA
.;7-26      ;_484-F-7209-29-1;BioFlora 6-0-0+8%Ca;SOLUCIONES AGRICOLAS DE GUATEMALA, S.A                                                                                                                ;06/01/2026;Litros    ;4163.5;Estados Unidos                                    ;Estados Unidos                                    ;Puerto Quetzal                                    ; $9,309.94 ; Q71,304.83 ; Q195.00 ;GLOBAL ORGANICS, LLC.; 11.96, 6.58;CaO, N;MAGA
.;8-26      ;_484-SAF-242-29-2;FULVEX;SOLUCIONES AGRICOLAS DE GUATEMALA, S.A                                                                                                                ;06/01/2026;Litros    ;16654;Estados Unidos                                    ;Estados Unidos                                    ;Puerto Quetzal                                    ; $27,559.75 ; Q211,080.13 ; Q445.00 ;GLOBAL ORGANICS, LLC.; 2.00;Acidos Fulvicos;MAGA
.;9-26      ;_484-F-6417-29-1;BIOFLORA 0-0-25;SOLUCIONES AGRICOLAS DE GUATEMALA, S.A                                                                                                                ;06/01/2026;Litros    ;4163.5;Estados Unidos                                    ;Estados Unidos                                    ;Puerto Quetzal                                    ; $11,916.94 ; Q91,271.84 ; Q230.00 ;GLOBAL ORGANICS, LLC.; 25.00, 0.00, 0.00;K2O, P2O5, N;MAGA
.;10-26     ;_484-F-5995-29-1;BIOFLORA BORON ZINC;SOLUCIONES AGRICOLAS DE GUATEMALA, S.A                                                                                                                ;06/01/2026;Litros    ;15404.95;Estados Unidos                                    ;Estados Unidos                                    ;Puerto Quetzal                                    ; $45,842.77 ; Q351,109.78 ; Q585.00 ;GLOBAL ORGANICS, LLC.; 2.00, 2.46, 4.20;S, B, Zn;MAGA
.;11-26     ;_484-SAF-449-29-1;BIOFLORA SEAWEED CREME;SOLUCIONES AGRICOLAS DE GUATEMALA, S.A                                                                                                                ;06/01/2026;Litros    ;8327;Estados Unidos                                    ;Estados Unidos                                    ;Puerto Quetzal                                    ; $30,169.87 ; Q231,071.03 ; Q465.00 ;GLOBAL ORGANICS, LLC.; 8.00;Extracto de Algas Marinas (Ascophyllum Nodosum);MAGA
.;12-26     ;_484-F-5996-29-1;BIOFLORA 0-15-15;SOLUCIONES AGRICOLAS DE GUATEMALA, S.A                                                                                                                ;06/01/2026;Litros    ;4163.5;Estados Unidos                                    ;Estados Unidos                                    ;Puerto Quetzal                                    ; $14,028.94 ; Q107,447.65 ; Q340.00 ;GLOBAL ORGANICS, LLC.; 15.00, 15.00;P2O5, K2O;MAGA
.;13-26     ;_484-F-5994-29-1;BIOFLORA MAGNESIUM 4%;SOLUCIONES AGRICOLAS DE GUATEMALA, S.A                                                                                                                ;06/01/2026;Litros    ;4163.5;Estados Unidos                                    ;Estados Unidos                                    ;Puerto Quetzal                                    ; $7,703.94 ; Q59,004.48 ; Q170.00 ;GLOBAL ORGANICS, LLC.; 5.50, 4.50;S, MgO;MAGA
.;14-26     ;_45-F-4833-42-7;POLYSULFATO GRANULAR 0-0-14+17.0 CaO + 6.0 MgO + 19.2 S;GRUPO FERT, S.A                                                                                                                                       ;06/01/2026;Kilogramos;295060;Inglaterra                                        ;Inglaterra                                        ;Puerto Barrios                                    ; $98,131.38 ; Q751,656.93 ; Q985.00 ;ICL EUROPE COOPERATIEF U.A.; 14.00, 17.00, 6.00, 19.20;K2O, CaO, MgO, S;MAGA
.;15-26     ;365-F-4645-1;Entec Special 12+12+17(+2+8) / Entec Special 12:12:17 (+2+8+TE);La Corneta, S. A.                                                                                                                                     ;06/01/2026;Kilogramos;240000;México                                            ;Alemania                                          ;Tecún Umán                                        ; $259,200.00 ; Q1,985,394.24 ; Q1,330.00 ;FERTISTREAM; 0.01, 0.02, 8.00, 2.00, 17.00, 12.00, 12.00;Zn, B, S, MgO, K2O, P2O5, N;MAGA
.;16-26     ;352-F-8416-42;YaraVita CROPLIFT BIO / YaraVita CROPLIFT BIO UK;YARA GUATEMALA, S.A                                                                                                                                   ;06/01/2026;Litros    ;2520;Inglaterra                                        ;Inglaterra                                        ;Puerto Quetzal                                    ; $10,209.61 ; Q78,185.40 ; Q210.00 ;YARA UK LTD.; 0.07, 0.00, 0.13, 0.10, 0.02, 7.00, 4.00, 10.00;Zn, Mo, Mn, Cu, B, K2O, P2O5, N;MAGA
.;17-26     ;_352-F-5198-21-1;NITRATO DE MAGNESIO;NUTRIENTES Y NITRATOS QUETZAL, S.A.                                                                                                                   ;07/01/2026;Kilogramos;78000;China                                             ;China                                             ;Puerto Quetzal                                    ; $31,396.75 ; Q240,489.69 ; Q475.00 ;Yara Switzerland Ltd.; 10.80, 15.40;N, MgO;MAGA
